Country,2025,2024,2023
World,113795678,111326370,100834796
United States,30507217,29184890,27720700
China,19231705,18743803,17794782
Germany,4744804,4659929,4525704
India,4187017,3912686,3575778
Japan,4186431,4026211,4204495
United Kingdom,3839180,3643834,3380855
France,3211292,3162079,3051832
Italy,2422855,2372775,2300941
Canada,2225341,2241253,2142471
Brazil,2125958,2179412,2191132
Russia,2076396,2173836,2008419
Spain,1799511,1722746,1620091
South Korea,1790322,1712793,1839058
Australia,1771681,1752193,1775628
Mexico,1692640,1852723,1793799
Turkey,1437406,1323255,1118253
Indonesia,1429743,1396300,1371171
Netherlands,1272011,1227544,1154361
Saudi Arabia,1083749,1237530,1067583
Poland,979960,914696,809201
Switzerland,947125,936564,894425
Taiwan,804889,—,—
Belgium,684864,664564,644783
Argentina,683533,633267,646075
Sweden,620297,610118,584960
Ireland,598840,577389,551395
Israel,583361,540380,513611
Singapore,564774,547387,501428
United Arab Emirates,548598,537079,514130
Thailand,546224,526411,514945
Austria,534301,521642,511685
Norway,504276,483727,485311
Philippines,497495,461618,437146
Vietnam,490970,476388,429717
Bangladesh,467218,450119,422431
Denmark,449940,429457,407092
Malaysia,444984,421972,399649
Colombia,427766,418542,363540
Hong Kong,423999,407107,380812
South Africa,410338,400261,377782
Romania,403395,382768,350776
Pakistan,—,373072,299864
Czech Republic,360244,345037,343208
Egypt,347342,389050,331590
Chile,343823,330267,335533
Iran,341013,436906,401596
Portugal,321440,308683,289114
Finland,303945,299836,295532
Peru,303293,289222,267603
Kazakhstan,300538,288406,264293
Algeria,268885,263620,247626
Greece,267348,257145,243498
Iraq,258020,279641,232107
New Zealand,248666,260236,252176
Hungary,237070,222905,212657
Qatar,222776,217983,213003
Ukraine,205742,190741,178757
Cuba,—,—,201986
Nigeria,188271,187760,374984
Morocco,165835,154431,144438
Kuwait,153101,160227,163705
Slovakia,147031,141776,132908
Uzbekistan,132484,114965,90889
Kenya,131673,124499,108039
Dominican Republic,127828,124282,121444
Ecuador,125677,124676,118845
Puerto Rico,122522,125842,117902
Guatemala,121177,113200,104451
Ethiopia,117457,163698,159746
Bulgaria,117007,112212,102397
Angola,113343,80397,90552
Venezuela,108511,—,139395
Oman,104351,106943,105896
Costa Rica,102591,95350,86498
Sri Lanka,—,98963,84364
Croatia,98951,92526,84391
Luxembourg,96613,93197,85755
Ivory Coast,94483,86538,78789
Serbia,92549,89084,75187
Panama,91675,86260,83382
Lithuania,89192,84869,79790
Turkmenistan,89054,64240,59887
Ghana,88332,82825,76370
Tanzania,85977,78780,78353
